id,strLocation,latitude,longitude,city,state,zip
27689-248404,Carson & Wilmington,33.831519,-118.239858,Carson,CA,90745
5774-5505,Atlantic & San Antonio,33.837239,-118.184724,Long Beach,CA,90807
74620-93749,Vons-Long Beach #3519,33.841027,-118.182765,Long Beach,CA,90807
5928-20999,"Avalon & Dominguez, Carson",33.841631,-118.262325,Carson,CA,90746
76468-95631,Target Carson T-2026,33.843971,-118.263345,Carson,CA,90746
21740-195884,Alameda & 91,33.876843,-118.217943,Compton,CA,90220
76769-107980,Target Long Beach/Sgnal Hill T-2319,33.816645,-118.181948,Long Beach,CA,90755
9788-97840,"Del Amo & Avalon, Carson",33.847785,-118.264379,Carson,CA,90746
76829-107981,Target Compton T-2275,33.879794,-118.21946,Compton,CA,90220
23315-218444,Spring & California,33.811997,-118.18111,Signal Hill,CA,90755
5721-246526,Long Beach Blvd. & Willow St,33.805306,-118.189789,Long Beach,CA,90806
9582-97226,"Central & The 91 Fwy, Compton",33.874262,-118.247704,Compton,CA,90220
29703-254264,Carson & Cherry,33.83219,-118.164436,Long Beach,CA,90807
5787-10754,Willow & Cherry,33.804118,-118.169935,Signal Hill,CA,90755
9411-96116,"Avalon & 91 Fwy, Carson",33.871835,-118.270445,Carson,CA,90746
73524-23311,Albertsons-Carson #3859,33.80777,-118.272137,Carson,CA,90745
6460-39339,"Sepulveda & Main, Carson",33.807723,-118.272125,Carson,CA,90749
6705-75941,"Torrance & I-110, Carson",33.841313,-118.285423,Carson,CA,90745
76983-136851,Target Long Beach NW T-2424,33.877283,-118.165991,Long Beach,CA,90805
29861-254290,South & Downey,33.860468,-118.150317,Long Beach,CA,90805
19665-192265,Lakewood & Cover,33.828681,-118.142979,Long Beach,CA,90808
76636-111374,Target Carson T-2328,33.808784,-118.286285,Carson,CA,90745
56922-290619,T-1409 TARGET LAKEWOOD CENTER MALL,33.850518,-118.142128,Lakewood,CA,90712
5702-6746,Lakewood Center - North Wing,33.851366,-118.14083,Lakewood,CA,90712
6856-82370,"Carson & Normandie, Torrance",33.831768,-118.297594,Torrance,CA,90502
5960-40859,"Sepulveda & Vermont, Harbor City",33.809793,-118.290023,Harbor City,CA,90710
5842-20739,"Paramount & Jackson, Paramount",33.885874,-118.159759,Paramount,CA,90723
5650-2075,Candlewood St. & Lakewood Blvd.,33.854041,-118.136447,Lakewood,CA,90712
52991-274148,Albertsons - Lakewood #0191,33.847686,-118.134381,Lakewood,CA,90712
6655-69821,Long Beach & 5th,33.772864,-118.189133,Long Beach,CA,90802
10307-99844,"Rosecrans & Central, Compton",33.903022,-118.255055,Compton,CA,90222
23924-234244,Broadway & Magnolia,33.769557,-118.197718,Long Beach,CA,90802
5221-290,Pine & 3rd,33.770159,-118.192195,Long Beach,CA,90802
9380-96430,Lakewood & Artesia,33.874989,-118.142364,Bellflower,CA,90706
5651-1915,190th & Normandie,33.858028,-118.302987,Torrance,CA,90501
75948-104482,Renaissance Long Beach - Gift Shop,33.767646,-118.191295,Long Beach,CA,90802
26770-245009,Torrance & Western,33.837539,-118.308868,Torrance,CA,90501
12956-152240,Vons-Long Beach #2861,33.769293,-118.184991,Long Beach,CA,90802
27432-247557,The Pike Outlets,33.765555,-118.192664,Long Beach,CA,90802
51994-258946,Ralphs Torrance #132,33.830027,-118.310939,Torrance,CA,90501
29579-254224,Ocean & Alamitos,33.766427,-118.183842,Long Beach,CA,90802
11459-103349,"Alondra & Lakewood, Paramount",33.889484,-118.144093,Paramount,CA,90723
5795-285943,Ximeno Avenue & Atherton,33.789673,-118.139158,Long Beach,CA,90815
5645-1961,"Artesia & Western, Gardena",33.873298,-118.308753,Gardena,CA,90248
79666-114970,Von's - Long Beach #3076,33.790551,-118.137446,Long Beach,CA,90815
5808-16794,Spring & Bellflower,33.808583,-118.124935,Long Beach,CA,90815
5795-18980,PCH & Ximeno,33.787807,-118.138834,Long Beach,CA,90804
9382-96453,Redondo & 7th,33.775204,-118.152613,Long Beach,CA,90804
20680-207644,Western & Lomita,33.797534,-118.307163,Harbor City,CA,90710
9419-95886,"Del Amo & Woodruff, Lakewood",33.846863,-118.11607,Lakewood,CA,90713
5735-8709,"Washington & Allen, Pasadena",34.168988,-118.112554,Pasadena,CA,91104
23004-226864,"Lake & Orange Grove, Pasadena",34.158723,-118.132721,Pasadena,CA,91104
649-383,La Canada,34.200542,-118.18902,La Canada,CA,91011
5860-29255,"Fair Oaks & Orange Grove, Pasadena",34.157476,-118.151001,Pasadena,CA,91103
6594-64802,"Hill & Walnut, East Pasadena",34.148859,-118.12158,Pasadena,CA,91106
20839-185185,Ralphs Pasadena #96,34.148999,-118.131489,Pasadena,CA,91101
56285-286643,Target La Canada T-3293,34.205279,-118.198559,La Canada,CA,91011
76198-94545,Target Pasadena T-883,34.146821,-118.134529,Pasadena,CA,91101
6838-82304,"Colorado & Bonnie, Pasadena",34.146175,-118.115502,Pasadena,CA,91106
25717-241971,Foothill & San Gabriel,34.150247,-118.09398,Pasadena,CA,91107
5514-1448,Pasadena Lake - Wells Fargo,34.144349,-118.132051,Pasadena,CA,91101
5881-231045,Colorado & Euclid,34.145671,-118.143135,Pasadena,CA,91101
15554-161368,Vons-Pasadena #2858,34.146098,-118.101906,Pasadena,CA,91107
17348-173405,Pasadena Convention Ctr-Green Stree,34.144508,-118.144181,Pasadena,CA,91101
582-212444,Colorado & De Lacey,34.145917,-118.152507,Pasadena,CA,91105
5657-1751,Sierra Madre Villa & Foothill,34.150375,-118.080344,Pasadena,CA,91107
47266-253492,Ralphs - Pasadena #730,34.151139,-118.075478,Pasadena,CA,91107
14995-156785,Target Pasadena East T-1332,34.146828,-118.084137,Pasadena,CA,91107
577-226,Hastings Ranch,34.150464,-118.073182,Pasadena,CA,91107
535-480,Lake & California,34.136012,-118.132483,Pasadena,CA,91101
5266-693,Sierra Madre,34.162443,-118.052837,Sierra Madre,CA,91024
5383-1153,Fairoaks & California - Pasadena,34.136273,-118.150208,Pasadena,CA,91105
5705-7827,Verdugo & 2 Freeway,34.206002,-118.217606,La Canada,CA,91011
74762-98340,Vons-Pasadena #2152,34.135937,-118.15315,Pasadena,CA,91105
19571-190724,Rosemead & Del Mar,34.142279,-118.073236,Pasadena,CA,91107
14449-122584,"Arroyo & Fillmore, Pasadena",34.132846,-118.147837,Pasadena,CA,91105
51757-279004,Foothill Blvd & Castle,34.216311,-118.226241,La Canada Flintridge,CA,91011
16782-10773,Honolulu & Ocean View,34.205275,-118.22782,Montrose,CA,91020
610-325,San Marino,34.122358,-118.105798,San Marino,CA,91108
74522-60799,Vons - Arcadia #3208,34.132925,-118.066385,Arcadia,CA,91007
75980-98881,Vons- Los Angeles #2655,34.13639,-118.189348,Los Angeles,CA,90041
5648-1811,Fair Oaks & State Street,34.120017,-118.150094,South Pasadena,CA,91030
5301-219,La Crescenta - Foothill & Rosemont,34.222108,-118.235498,La Crescenta,CA,91214
26031-243127,Rosemead & Duarte,34.12274,-118.072538,San Gabriel,CA,91775
5513-1445,Fair Oaks & El Centro (Wells Fargo),34.114763,-118.150166,Pasadena,CA,91030
52847-253491,Ralphs - Arcadia #41,34.151603,-118.024814,Arcadia,CA,91006
74686-96297,Vons-South Pasadena #2228,34.11178,-118.150566,South Pasadena,CA,91030
537-481,Arcadia,34.124874,-118.056934,Arcadia,CA,91007
8617-93468,"Colorado & Eagle Rock, Eagle Rock",34.139093,-118.215373,Los Angeles,CA,90041
74599-87828,Vons-La Crescenta #2598,34.230013,-118.248845,La Crescenta,CA,91214
28507-249685,Foothill & Madison,34.150855,-118.018276,Monrovia,CA,91016
3941-141830,Target Los Angeles Eagle T-1408,34.142155,-118.22339,Los Angeles,CA,90041
19848-168484,Figueroa & York,34.114872,-118.183339,Los Angeles,CA,90042
6980-86481,"Huntington & Fremont, S. Pasadena",34.104295,-118.152868,South Pasadena,CA,91030
5497-1534,Huntington & 2nd,34.139778,-118.023892,Arcadia,CA,91006
11445-251305,Foothill & Willalee,34.234368,-118.255964,Glendale,CA,91214
23261-228525,Colorado & Griswold,34.14258,-118.235097,Glendale,CA,91205
74571-79835,Vons-Glendale #1707,34.153507,-118.24385,Glendale,CA,91206
6746-77940,"Las Tunas & Rosemead, Temple City",34.103739,-118.074136,Temple City,CA,91780
5239-406,Monrovia,34.140448,-118.012973,Monrovia,CA,91016
73672-96295,Albertsons-Arcadia #561,34.107541,-118.023491,Arcadia,CA,91006
27886-249007,Santa Anita & Live Oak,34.107577,-118.031275,Arcadia,CA,91006
